product_id,part_number,description,slug,generated_image_url,resolution,file_size_kb,category_updated,status
93bfec46cf5dc6a2,826/01060,VERBUSRIPPBOLT,826-01060-verbusrippbolt,/images/products/826-01060-verbusrippbolt.webp,640x480,7,Axle & Wheel Parts,PRODUCED_AND_INTEGRATED
163dbdc9de611c10,332/G8146,ABISTEERINGWHEEL-spinner,332-g8146-abisteeringwheel-spinner,/images/products/332-g8146-abisteeringwheel-spinner.webp,640x480,13,Axle & Wheel Parts,PRODUCED_AND_INTEGRATED
6578115553447fd6,1209/0015,SPRINGBUSH,1209-0015-springbush,/images/products/1209-0015-springbush.webp,640x480,5,PRESERVED,PRODUCED_AND_INTEGRATED
173dc5a4f83105a5,40/303392,BUSH,40-303392-bush,/images/products/40-303392-bush.webp,640x480,5,PRESERVED,PRODUCED_AND_INTEGRATED
16d6ce646c64540e,808/00304,LINERBEARING,808-00304-linerbearing,/images/products/808-00304-linerbearing.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
a113201aeebe3bef,331/31247,hingleblock assembly,331-31247-hingleblock-assembly,/images/products/331-31247-hingleblock-assembly.webp,640x480,6,Cabin Parts,PRODUCED_AND_INTEGRATED
72f85c04379bef9e,910/52501,THROTTLELEVER(213)',910-52501-throttlelever-213,/images/products/910-52501-throttlelever-213.webp,640x480,6,Cables,PRODUCED_AND_INTEGRATED
87d95d8aac7cdb64,910/60253,(W)(Pre-P)-CABLEparkbrake3C',910-60253-w-pre-p-cableparkbrake3c,/images/products/910-60253-w-pre-p-cableparkbrake3c.webp,640x480,6,PRESERVED,PRODUCED_AND_INTEGRATED
3d645877e6e00bd3,320/07201,LIFTPUMP.DIESELF,320-07201-liftpumpdieself,/images/products/320-07201-liftpumpdieself.webp,640x480,6,Engine Parts,PRODUCED_AND_INTEGRATED
33441a5e19cefb46,320/08651,AUTOTENSIONER(alt320/08759),320-08651-autotensioner-alt320-08759,/images/products/320-08651-autotensioner-alt320-08759.webp,640x480,6,Engine Parts,PRODUCED_AND_INTEGRATED
8e413cbcc79e6b17,320/09470,Big End Bearing Kit (Std)   -  4.8 BS3,320-09470-big-end-bearing-kit-std-48-bs3,/images/products/320-09470-big-end-bearing-kit-std-48-bs3.webp,640x480,14,PRESERVED,PRODUCED_AND_INTEGRATED
