part_number,description,category,original_image,original_resolution,final_image,final_resolution,image_source,image_status,matching_method,confidence,qa_status,notes
331/20202,BALLJOINT,Axle & Wheel Parts,p010_r131_5.webp,210x141,/images/products/331-20202-balljoint.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 10 row 131; geometry preserved.
331/20550,UPPER WEAR PAD 5mm,Wear Pads / Wear Plates,p097_r12_12.webp,195x142,/images/products/331-20550-upper-wear-pad-5mm.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 97 row 12; geometry preserved.
331/20552,UPPER WEAR PAD 6mm,Wear Pads / Wear Plates,p097_r13_13.webp,235x141,/images/products/331-20552-upper-wear-pad-6mm.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 97 row 13; geometry preserved.
331/20556,UPPER WEAR PAD 7mm,Wear Pads / Wear Plates,p097_r14_14.webp,217x142,/images/products/331-20556-upper-wear-pad-7mm.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 97 row 14; geometry preserved.
331/22380,WEARPAD,Wear Pads / Wear Plates,p098_r16_2.webp,211x97,/images/products/331-22380-wearpad.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 98 row 16; geometry preserved.
331/22800,STEP,Body Parts,p016_r35_6.webp,252x142,/images/products/331-22800-step.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 16 row 35; geometry preserved.
331/25566,GAITER-GEAR LEVER,Bushes / Bearing Liners,p032_r30_1.webp,201x142,/images/products/331-25566-gaiter-gear-lever.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 32 row 30; geometry preserved.
331/25685,GAITERS LOADER CONTL,Bushes / Bearing Liners,p032_r31_2.webp,136x141,/images/products/331-25685-gaiters-loader-contl.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 32 row 31; geometry preserved.
331/27034,STEP TREAD 410X180,Body Parts,p017_r55_12.webp,255x119,/images/products/331-27034-step-tread-410x180.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 17 row 55; geometry preserved.
331/27126,BONNET LOCK,Body Parts,p016_r36_7.webp,136x141,/images/products/331-27126-bonnet-lock.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 16 row 36; geometry preserved.
331/27389,BOTTOM WEAR STRIP,Wear Pads / Wear Plates,p098_r17_3.webp,248x142,/images/products/331-27389-bottom-wear-strip.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 98 row 17; geometry preserved.
331/28233,LH LATCH ASSY,Bushes / Bearing Liners,p032_rx_4.webp,226x99,/images/products/331-28233-lh-latch-assy.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 32 row null; geometry preserved.
331/28235,RH LATCH ASSY,Bushes / Bearing Liners,p032_r34_5.webp,252x105,/images/products/331-28235-rh-latch-assy.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 32 row 34; geometry preserved.
331/31071,Catch Window L-S/S BY 335/Y5639,Bushes / Bearing Liners,p032_r35_6.webp,237x141,/images/products/331-31071-catch-window-l-s-s-by-335-y5639.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 32 row 35; geometry preserved.
331/31205,GAITERS EXCAVATOR CONTROLS P92,Cabin Parts,p034_r62_6.webp,142x142,/images/products/331-31205-gaiters-excavator-controls-p92.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 34 row 62; geometry preserved.
