external_product_name,external_part_numbers,external_category,external_product_url,external_image_url,match_confidence,matched_rre_part_number,matched_rre_description,matched_rre_slug,matched_rre_category,matched_rre_current_image_status,token_similarity,reconciliation_action
Gas Strut,331/66784,Cabin Parts,https://www.antheautoparts.com/product-details/gas-strut-331-66784-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/WGdheUVtZno4L0hwWGNvZkQzczU5dz09_1745056160_0.jpg,HIGH,331/66784,GAS STRUT 157>245,331-66784-gas-strut-157245,Cabin Parts,source_image,0.5,CROSS_REFERENCE_CONFIRMED
Gas Strut,331/66785,Cabin Parts,https://www.antheautoparts.com/product-details/gas-strut-331-66785-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/SjBMRHVPYm10aTNuMVgyaDlyY0tmUT09_1745056350_0.jpg,HIGH,331/66785,GAS STRUT 327-585,331-66785-gas-strut-327-585,Cabin Parts,source_image,0.5,CROSS_REFERENCE_CONFIRMED
Micro Switch on Control Laver Knob,701/49800,Cabin Parts,https://www.antheautoparts.com/product-details/micro-switch-on-control-laver-knob-701-49800-jcb-genuine-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/VjlrQnJKd1IrNWs5RmYyMFZmSUUrdz09_1745056407_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Throttle Cable,332/Y3852,Cables,https://www.antheautoparts.com/product-details/throttle-cable-332-y3852-jcb-parts-online,https://enterprise.saioautomotive.com/backend/assets/uploads/products/Z0tMMTM2Z2RVUDZSOHpqRmtrcnhYdz09_1745059992_0.jpg,HIGH,332/Y3852,THROTTLE CABLE ASSY,332-y3852-throttle-cable-assy,Cables,source_image,0.67,CROSS_REFERENCE_CONFIRMED
Throttle Cable,40/302709 | 40/302921,Cables,https://www.antheautoparts.com/product-details/throttle-cable-40-302709-40-302921-jcb-parts-near-me,https://enterprise.saioautomotive.com/backend/assets/uploads/products/RU10SjRmQXVEcFpoZDhGaXVrMzNKZz09_1745060043_0.jpg,HIGH,40/302709,THROTTLE CABLE (P92),40-302709-throttle-cable-p92,Cables,source_image,0.67,CROSS_REFERENCE_CONFIRMED
"Spring Overload, Throttle Control",814/10179,Cables,https://www.antheautoparts.com/product-details/spring-overload-throttle-control-814-10179-jcb-aftermarket-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/dlNKVGZtM3lENEdFS2hPdnVadHV4dz09_1745060201_0.jpg,HIGH,814/10179,SPRING throttle over,814-10179-spring-throttle-over,Cables,source_image,0.4,CROSS_REFERENCE_CONFIRMED
Parking Brake Cable,910/28200 | 910/17500,Cables,https://www.antheautoparts.com/product-details/parking-brake-cable-910-28200-910-17500-jcb-parts-online,https://enterprise.saioautomotive.com/backend/assets/uploads/products/VjJlKzVjQks4MndydCtmZVg4aHdpZz09_1745060258_0.jpg,EXACT,910/28200,PARKINGBRAKECABEL,910-28200-parkingbrakecabel,Cables,source_image,0,CROSS_REFERENCE_CONFIRMED
Throttle Control Knob,910/24801,Cables,https://www.antheautoparts.com/product-details/throttle-control-knob-910-24801-jcb-parts-catalog,https://enterprise.saioautomotive.com/backend/assets/uploads/products/ZFZ1SmRTSzRMQldZRnB0RkplOXhhUT09_1745060321_0.jpg,EXACT,910/24801,HANDLEKNOB,910-24801-handleknob,Cabin Parts,source_image,0,CROSS_REFERENCE_CONFIRMED
Accelerator Lever,910/24802,Cables,https://www.antheautoparts.com/product-details/accelerator-lever-910-24802-jcb-parts-online,https://enterprise.saioautomotive.com/backend/assets/uploads/products/SzFuVVcyU2J4RjFUUEFxR1BDc215dz09_1745060387_0.jpg,HIGH,910/24802,LEVER ASSY.,910-24802-lever-assy,Cables,source_image,0.33,CROSS_REFERENCE_CONFIRMED
Cable Control Stop Assembly,910/24900 | 910/28400,Cables,https://www.antheautoparts.com/product-details/cable-control-stop-assembly-910-24900-910-28400-replacement-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/aWx6QzljTUZCc1NKV1BtcTR1a2tHdz09_1745060430_0.jpg,HIGH,910/28400,STOP CABLE -ENGINE,910-28400-stop-cable-engine,Cables,source_image,0.4,CROSS_REFERENCE_CONFIRMED
